test,class
removeBookmarkFromBookmarkList_bookmarkIsRemoved,org.mozilla.focus.activity.BookmarksTest
browsingTwoWebSites_sitesAreDisplayedInOrderInHistoryPanel,org.mozilla.focus.activity.BrowsingHistoryTest
switchSearchEngine_searchViaSearchEngineAccordingly,org.mozilla.focus.activity.SwitchSearchEngineTest
restoreEmptyTab_addNewTabThenRelaunch,org.mozilla.focus.activity.SaveRestoreTabsTest
appHasOneTabAndReceiveBrowsingIntent_tabIncreasedAndBrowse,org.mozilla.focus.activity.BrowsingIntentTest
showRateAppPromotionAndClickFeedback_openFeedbackUrl,org.mozilla.focus.activity.RateAppPromotionTest
editBookmarkWithChangingContent_bookmarkIsUpdated,org.mozilla.focus.activity.BookmarksTest
typeTextInSearchFieldAndClear_textIsClearedAndBackToHome,org.mozilla.focus.activity.SearchFieldTest
editBookmarkWithVariousWords_bookmarkIsUpdated,org.mozilla.focus.activity.BookmarksTest
shareWithFriends,org.mozilla.focus.activity.ShareWithFriendTest
browsingWebsiteBackAndForward_backAndFrowardToWebsite,org.mozilla.focus.activity.NavigationTest
clickSearchSuggestion_browseByDefaultSearchEngine,org.mozilla.focus.activity.SearchSuggestionTest
deleteTopSite_deleteSuccessfully,org.mozilla.focus.activity.RemoveTopSitesTest
addBookmarkAndEdit_bookmarkIsUpdated,org.mozilla.focus.activity.BookmarksTest
editBookmarkWithClearingLocationContent_saveButtonIsDisabled,org.mozilla.focus.activity.BookmarksTest