test,class
testTools,org.catrobat.paintroid.test.espresso.LandscapeIntegrationTest
testIfCurrentToolIsShownInBottomNavigation,org.catrobat.paintroid.test.espresso.LandscapeIntegrationTest
testColorPickerCancelButtonKeepsColorInLandscape,org.catrobat.paintroid.test.espresso.LandscapeIntegrationTest
testFullscreenLandscapeOrientationChangeWithBrush,org.catrobat.paintroid.test.espresso.LandscapeIntegrationTest
testFullscreenLandscapeOrientationChangeWithShape,org.catrobat.paintroid.test.espresso.LandscapeIntegrationTest
testOpenColorPickerDialogChooseColorInLandscape,org.catrobat.paintroid.test.espresso.LandscapeIntegrationTest
testFullscreenPortraitOrientationChangeWithBrush,org.catrobat.paintroid.test.espresso.LandscapeIntegrationTest
testOpenColorPickerDialogInLandscape,org.catrobat.paintroid.test.espresso.LandscapeIntegrationTest
testMoreOptionsDrawerAppearsAndAllItemsExist,org.catrobat.paintroid.test.espresso.LandscapeIntegrationTest
testOpenColorPickerDialogApplyColorInLandscape,org.catrobat.paintroid.test.espresso.LandscapeIntegrationTest